calls,input_shape,layer,mac_share_pct,macs,macs_total,model,operator,output_shape
1,"[1, 16, 360, 360]",aspp.0.convs.1.0,11.221507890122735,597196800,597196800,官方 ANN EV-Slim,Conv2d,"[1, 32, 360, 360]"
1,"[1, 16, 360, 360]",aspp.0.convs.2.0,11.221507890122735,597196800,597196800,官方 ANN EV-Slim,Conv2d,"[1, 32, 360, 360]"
1,"[1, 16, 360, 360]",aspp.0.convs.3.0,11.221507890122735,597196800,597196800,官方 ANN EV-Slim,Conv2d,"[1, 32, 360, 360]"
1,"[1, 32, 360, 360]",aspp.1.convs.1.0,11.221507890122735,597196800,597196800,官方 ANN EV-Slim,Conv2d,"[1, 16, 360, 360]"
1,"[1, 32, 360, 360]",aspp.1.convs.2.0,11.221507890122735,597196800,597196800,官方 ANN EV-Slim,Conv2d,"[1, 16, 360, 360]"
1,"[1, 32, 360, 360]",aspp.1.convs.3.0,11.221507890122735,597196800,597196800,官方 ANN EV-Slim,Conv2d,"[1, 16, 360, 360]"
1,"[1, 16, 360, 360]",enc.1.conv2d,5.610753945061368,298598400,298598400,官方 ANN EV-Slim,Conv2d,"[1, 16, 360, 360]"
1,"[1, 16, 360, 360]",enc.2.conv2d,5.610753945061368,298598400,298598400,官方 ANN EV-Slim,Conv2d,"[1, 16, 360, 360]"
1,"[1, 16, 360, 360]",dec.0.conv2d,2.805376972530684,149299200,149299200,官方 ANN EV-Slim,Conv2d,"[1, 8, 360, 360]"
1,"[1, 32, 360, 360]",aspp.0.fc.0,2.4936684200272743,132710400,132710400,官方 ANN EV-Slim,Conv2d,"[1, 32, 360, 360]"
1,"[1, 32, 360, 360]",aspp.0.fc.1,2.4936684200272743,132710400,132710400,官方 ANN EV-Slim,Conv2d,"[1, 32, 360, 360]"
1,"[1, 32, 360, 360]",aspp.0.fc.2,2.4936684200272743,132710400,132710400,官方 ANN EV-Slim,Conv2d,"[1, 32, 360, 360]"
1,"[1, 32, 360, 360]",aspp.0.fc.3,2.4936684200272743,132710400,132710400,官方 ANN EV-Slim,Conv2d,"[1, 32, 360, 360]"
1,"[1, 6, 360, 360]",enc.0.conv2d,2.104032729398013,111974400,111974400,官方 ANN EV-Slim,Conv2d,"[1, 16, 360, 360]"
1,"[1, 8, 360, 360]",dec.1.conv2d,1.402688486265342,74649600,74649600,官方 ANN EV-Slim,Conv2d,"[1, 8, 360, 360]"
1,"[1, 16, 360, 360]",aspp.0.convs.0.0,1.2468342100136371,66355200,66355200,官方 ANN EV-Slim,Conv2d,"[1, 32, 360, 360]"
1,"[1, 32, 360, 360]",aspp.1.convs.0.0,1.2468342100136371,66355200,66355200,官方 ANN EV-Slim,Conv2d,"[1, 16, 360, 360]"
1,"[1, 16, 360, 360]",aspp.1.fc.0,0.6234171050068186,33177600,33177600,官方 ANN EV-Slim,Conv2d,"[1, 16, 360, 360]"
1,"[1, 16, 360, 360]",aspp.1.fc.1,0.6234171050068186,33177600,33177600,官方 ANN EV-Slim,Conv2d,"[1, 16, 360, 360]"
1,"[1, 16, 360, 360]",aspp.1.fc.2,0.6234171050068186,33177600,33177600,官方 ANN EV-Slim,Conv2d,"[1, 16, 360, 360]"
1,"[1, 16, 360, 360]",aspp.1.fc.3,0.6234171050068186,33177600,33177600,官方 ANN EV-Slim,Conv2d,"[1, 16, 360, 360]"
1,"[1, 8, 360, 360]",dec.2.conv2d,0.17533606078316774,9331200,9331200,官方 ANN EV-Slim,Conv2d,"[1, 1, 360, 360]"
3,"[1, 16, 360, 360]",conv2,13.29026303645593,298598400,895795200,Hybrid SNN EV-Slim,Conv2d,"[1, 16, 360, 360]"
3,"[1, 16, 360, 360]",conv3,13.29026303645593,298598400,895795200,Hybrid SNN EV-Slim,Conv2d,"[1, 16, 360, 360]"
1,"[1, 16, 360, 360]",aspp.0.convs.1.0,8.860175357637287,597196800,597196800,Hybrid SNN EV-Slim,Conv2d,"[1, 32, 360, 360]"
1,"[1, 16, 360, 360]",aspp.0.convs.2.0,8.860175357637287,597196800,597196800,Hybrid SNN EV-Slim,Conv2d,"[1, 32, 360, 360]"
1,"[1, 16, 360, 360]",aspp.0.convs.3.0,8.860175357637287,597196800,597196800,Hybrid SNN EV-Slim,Conv2d,"[1, 32, 360, 360]"
1,"[1, 32, 360, 360]",aspp.1.convs.1.0,8.860175357637287,597196800,597196800,Hybrid SNN EV-Slim,Conv2d,"[1, 16, 360, 360]"
1,"[1, 32, 360, 360]",aspp.1.convs.2.0,8.860175357637287,597196800,597196800,Hybrid SNN EV-Slim,Conv2d,"[1, 16, 360, 360]"
1,"[1, 32, 360, 360]",aspp.1.convs.3.0,8.860175357637287,597196800,597196800,Hybrid SNN EV-Slim,Conv2d,"[1, 16, 360, 360]"
3,"[1, 6, 360, 360]",conv1,4.983848638670974,111974400,335923200,Hybrid SNN EV-Slim,Conv2d,"[1, 16, 360, 360]"
1,"[1, 16, 360, 360]",dec.0.conv2d,2.2150438394093217,149299200,149299200,Hybrid SNN EV-Slim,Conv2d,"[1, 8, 360, 360]"
1,"[1, 32, 360, 360]",aspp.0.fc.0,1.9689278572527305,132710400,132710400,Hybrid SNN EV-Slim,Conv2d,"[1, 32, 360, 360]"
1,"[1, 32, 360, 360]",aspp.0.fc.1,1.9689278572527305,132710400,132710400,Hybrid SNN EV-Slim,Conv2d,"[1, 32, 360, 360]"
1,"[1, 32, 360, 360]",aspp.0.fc.2,1.9689278572527305,132710400,132710400,Hybrid SNN EV-Slim,Conv2d,"[1, 32, 360, 360]"
1,"[1, 32, 360, 360]",aspp.0.fc.3,1.9689278572527305,132710400,132710400,Hybrid SNN EV-Slim,Conv2d,"[1, 32, 360, 360]"
1,"[1, 8, 360, 360]",dec.1.conv2d,1.1075219197046609,74649600,74649600,Hybrid SNN EV-Slim,Conv2d,"[1, 8, 360, 360]"
1,"[1, 16, 360, 360]",aspp.0.convs.0.0,0.9844639286263652,66355200,66355200,Hybrid SNN EV-Slim,Conv2d,"[1, 32, 360, 360]"
1,"[1, 32, 360, 360]",aspp.1.convs.0.0,0.9844639286263652,66355200,66355200,Hybrid SNN EV-Slim,Conv2d,"[1, 16, 360, 360]"
1,"[1, 16, 360, 360]",aspp.1.fc.0,0.4922319643131826,33177600,33177600,Hybrid SNN EV-Slim,Conv2d,"[1, 16, 360, 360]"
1,"[1, 16, 360, 360]",aspp.1.fc.1,0.4922319643131826,33177600,33177600,Hybrid SNN EV-Slim,Conv2d,"[1, 16, 360, 360]"
1,"[1, 16, 360, 360]",aspp.1.fc.2,0.4922319643131826,33177600,33177600,Hybrid SNN EV-Slim,Conv2d,"[1, 16, 360, 360]"
1,"[1, 16, 360, 360]",aspp.1.fc.3,0.4922319643131826,33177600,33177600,Hybrid SNN EV-Slim,Conv2d,"[1, 16, 360, 360]"
1,"[1, 8, 360, 360]",dec.2.conv2d,0.1384402399630826,9331200,9331200,Hybrid SNN EV-Slim,Conv2d,"[1, 1, 360, 360]"
10,"[1, 129, 128, 128]",multires_unetrec.decoders.3.conv2d.ff,13.62256347076165,608698368,6086983680,MAVLab LIF-EV-FlowNet-TTC,Conv2d,"[1, 32, 128, 128]"
10,"[1, 257, 64, 64]",multires_unetrec.decoders.2.conv2d.ff,13.569762837154046,606339072,6063390720,MAVLab LIF-EV-FlowNet-TTC,Conv2d,"[1, 64, 64, 64]"
10,"[1, 513, 32, 32]",multires_unetrec.decoders.1.conv2d.ff,13.543362520350245,605159424,6051594240,MAVLab LIF-EV-FlowNet-TTC,Conv2d,"[1, 128, 32, 32]"
10,"[1, 1024, 16, 16]",multires_unetrec.decoders.0.conv2d.ff,13.516962203546443,603979776,6039797760,MAVLab LIF-EV-FlowNet-TTC,Conv2d,"[1, 256, 16, 16]"
10,"[1, 64, 64, 64]",multires_unetrec.encoders.0.recurrent_block.ff,3.379240550886611,150994944,1509949440,MAVLab LIF-EV-FlowNet-TTC,Conv2d,"[1, 64, 64, 64]"
10,"[1, 64, 64, 64]",multires_unetrec.encoders.0.recurrent_block.rec,3.379240550886611,150994944,1509949440,MAVLab LIF-EV-FlowNet-TTC,Conv2d,"[1, 64, 64, 64]"
