estimated_total_spikes,layer,mean_spike_rate,membrane_mean,membrane_std,model,neurons_per_step,state_update_count,synops_proxy,time_steps
215026.00000000003,lif1,0.03456565072016461,nan,nan,Hybrid SNN EV-Slim,2073600,6220800,30963744.000000004,3
366038.0,lif2,0.05884098508230453,nan,nan,Hybrid SNN EV-Slim,2073600,6220800,52709472.0,3
217218.0,multires_unetrec.decoders.0.conv2d,0.3314483642578125,-42.97984848022461,117.50695190429687,MAVLab LIF-EV-FlowNet-TTC,65536,655360,nan,10
392596.0,multires_unetrec.decoders.1.conv2d,0.2995269775390625,-26.330044174194335,58.108367156982425,MAVLab LIF-EV-FlowNet-TTC,131072,1310720,nan,10
890256.0,multires_unetrec.decoders.2.conv2d,0.339605712890625,-18.906978607177734,40.931478881835936,MAVLab LIF-EV-FlowNet-TTC,262144,2621440,nan,10
965140.0,multires_unetrec.decoders.3.conv2d,0.18408584594726562,-10.613692283630371,16.082459926605225,MAVLab LIF-EV-FlowNet-TTC,524288,5242880,nan,10
131845.0,multires_unetrec.encoders.0.conv,0.05029487609863281,-0.0702497523277998,1.0614504098892212,MAVLab LIF-EV-FlowNet-TTC,262144,2621440,nan,10
950465.0,multires_unetrec.encoders.0.recurrent_block,0.36257362365722656,-4.606523342430592,22.965863513946534,MAVLab LIF-EV-FlowNet-TTC,262144,2621440,nan,10
521080.0,multires_unetrec.encoders.1.conv,0.397552490234375,-1.664562714099884,9.760019779205322,MAVLab LIF-EV-FlowNet-TTC,131072,1310720,nan,10
609759.0,multires_unetrec.encoders.1.recurrent_block,0.4652091979980469,-6.5136207103729244,45.38948135375976,MAVLab LIF-EV-FlowNet-TTC,131072,1310720,nan,10
200895.0,multires_unetrec.encoders.2.conv,0.30654144287109375,-8.94869909286499,20.772024154663086,MAVLab LIF-EV-FlowNet-TTC,65536,655360,nan,10
222111.0,multires_unetrec.encoders.2.recurrent_block,0.33891448974609373,-14.86958713531494,47.364735794067386,MAVLab LIF-EV-FlowNet-TTC,65536,655360,nan,10
122047.0,multires_unetrec.encoders.3.conv,0.3724578857421875,-4.529272150993347,18.58512935638428,MAVLab LIF-EV-FlowNet-TTC,32768,327680,nan,10
84526.0,multires_unetrec.encoders.3.recurrent_block,0.257952880859375,-36.55589256286621,59.7416187286377,MAVLab LIF-EV-FlowNet-TTC,32768,327680,nan,10
106265.0,multires_unetrec.resblocks.0.conv1,0.3242950439453125,-8.945946884155273,23.47239933013916,MAVLab LIF-EV-FlowNet-TTC,32768,327680,nan,10
91050.0,multires_unetrec.resblocks.0.conv2,0.277862548828125,-19.532905197143556,36.1514892578125,MAVLab LIF-EV-FlowNet-TTC,32768,327680,nan,10
135210.0,multires_unetrec.resblocks.1.conv1,0.412628173828125,-4.736785507202148,41.25654602050781,MAVLab LIF-EV-FlowNet-TTC,32768,327680,nan,10
76390.0,multires_unetrec.resblocks.1.conv2,0.233123779296875,-31.482936477661134,45.542679977416995,MAVLab LIF-EV-FlowNet-TTC,32768,327680,nan,10
